player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Trey Burke,burketr01,2020,1330,641,1.973606764102748,-.006742479733391,1.966864284369358,4.406088459138293,-1.991225040330406,2.414863418807887,2.562870998642244,-.4253825915359742,2.137488407106269,1.584655636062063,.9527109942463021,.6319446418157606,2.283906090572972,-.5184441174040137,1.765461973168958,-1.44275349578915
Alec Burks,burksal01,2020,3911,1849,1.928577336085888,-1.358126255637028,.5704510804488609,-2.693497186359209,.7468403332108554,-1.946656853148354,1.170560907808181,-.9904912546155771,.1800696531926036,2.759615246724643,2.704247261632706,.0553679850919373,.408710421551262,-.766062885888068,-.357352464336806,-.2439829841702816
Deonte Burton,burtode02,2020,789,358,-6.618664409031678,-2.121304194439199,-8.739968603470874,-9.425481068505112,.5041993233648351,-8.921281745140277,-7.60507915031072,-1.733473735326206,-9.338552885636927,-1.205122340560908,-1.203430831005643,-.0016915095552656,-6.837339653476338,-2.769786551841124,-9.607126205317462,.1821927867635284
Jimmy Butler,butleji01,2020,4291,2094,4.466642077461195,2.229083037675339,6.695725115136534,.4916882655457945,.9298829432567386,1.421571208802533,3.882732251026464,2.078174698893784,5.960906949920249,9.291317163118011,8.803831561964943,.4874856011530685,4.009227099317449,1.886440291501432,5.89566739081888,-.2744188060563828
Bruno Caboclo,cabocbr01,2020,555,246,-3.744028187993031,3.68858981687505,-.0554383711179824,-6.260752837786617,3.349405246820081,-2.911347590966536,-4.46722633075297,3.848955117030104,-.6182712137228661,.2763989864740685,.2403631190160868,.0360358674579818,-2.79411834979087,3.226446729001901,.4323283792110311,1.028149137749991
Devontae Cacok,cacokde01,2020,22,9,7.056596212079392,-15.93149253037832,-8.87489631829893,15.86324627242599,-7.109988683031471,8.753257589394526,9.358712401492717,-15.08934605130408,-5.730633649811365,-.0138097555267354,-.0138097555267354,0,5.240453963160444,-11.54900693728477,-6.308552974124326,.9197103551965617
Kentavious Caldwell-Pope,caldwke01,2020,3981,1865,-.5303563226161307,-.1767251493807208,-.7070814719968516,.394348292809703,-.7461568387108666,-.3518085459011636,-.3912656652466175,-.3686979447121819,-.7599636099587994,1.893738614123281,1.971735968651574,-.0779973545282936,-.6982433432651782,.0875058047995745,-.6107375384656037,.0640913301371071
Vlatko Cancar,cancavl01,2020,97,45,-1.209749288698496,.6428248084506936,-.5669244802478022,-.7029375410874906,-1.082374205087638,-1.785311746175129,-1.193760042601641,.3333452037984634,-.8604148388031774,.0438284265021268,.0438284265021268,0,-1.623013277620886,-1.286707198755544,-2.909720476376429,1.048367973523747
Clint Capela,capelca01,2020,2788,1279,-1.053950379614389,4.895824470263583,3.841874090649194,-.5489580940312311,.2538810551552629,-.2950770388759681,-1.063521663524807,4.212334538160312,3.148812874635505,3.85484848561862,3.85484848561862,0,-1.065699599739516,4.610299788021075,3.54460018828156,.1486216064263672
DeMarre Carroll,carrode01,2020,638,292,-2.19257166106282,.4922245917683588,-1.700347069294461,-2.290634036667191,1.398064871931212,-.8925691647359785,-2.364039056467452,.7393943294477157,-1.624644727019736,.1629092203997455,.2020290035714448,-.0391197831716993,-2.606863543107969,-.0740261813734042,-2.680889724481374,.4729501082945597
