player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Kyle Lowry,lowryky01,2020,RS,TOR,4471,2098,3.803114341505023,1.119599435460647,4.92271377696567,-1.576618866251251,1.118582880511897,-.4580359857393546,2.892472724305428,1.134527556631254,4.027000280936682,7.344063044556321,7.344063044556321,0,3.213888606875222,1.558466291939528,4.772354898814751,1.266285629575161
Timothe Luwawu-Cabarrot,luwawti01,2020,PO,BRK,279,131,-1.150153900293906,-2.533426878217245,-3.683580778511151,9.765384868001812,8.165433051259695,17.93081791926151,1.207955718458166,-.309520511933505,.8984352065246614,.2509128377062484,0,.2509128377062484,7.140592967163683,-.7779711766893569,6.362621790474327,-.2335283716002265
Timothe Luwawu-Cabarrot,luwawti01,2020,RS,BRK,1853,853,.3487104590804788,.684823859159959,1.033534318240438,-3.565559177235986,3.355546180865205,-.2100129963707813,-.4396616254277756,1.275385747938571,.8357241225107952,1.568158855310799,1.568158855310799,0,-.4263792600398811,.5709943142482687,.1446150542083877,.5005110004767991
Trey Lyles,lylestr01,2020,RS,SAS,2669,1271,-1.254907359373648,-1.522664982428439,-2.777572341802087,2.313818973815891,-1.695667162469567,.6181518113463247,-.5903168678936662,-1.621552867340642,-2.211869735234309,.3487299207162282,.3487299207162282,0,-.6347125905756794,-1.465307672756616,-2.100020263332296,-.0667972249463906
Daryl Macon,maconda01,2020,RS,MIA,29,14,-8.866764786220598,3.403176714137443,-5.463588072083155,-17.18758591748188,22.25445456872425,5.06686865124237,-11.2190332182335,7.530277541899266,-3.688755676334231,-.0066624474261326,-.0066624474261326,0,-13.34637098057017,1.337569247869163,-12.008801732701,-.653198529537368
J.P. Macura,macurjp01,2020,RS,CLE,2,1,-3.838530910999159,3.695359364780178,-.1431715462189813,29.25433542032226,66.45783995541856,95.71217537574083,2.797264394414812,16.8125189941888,19.60978338860361,.0109396993376029,.0109396993376029,0,-1.427144989523985,6.178278282336627,4.751133292812642,-4.191063191248713
Josh Magette,magetjo01,2020,RS,ORL,79,38,-7.277279069005901,10.82882217494175,3.551543105935846,-7.627899241067207,11.2422134965701,3.614314255502895,-7.767821738835678,11.54953692345701,3.781715184621333,.129630882357975,.129630882357975,0,-5.78996686012144,8.656639566793734,2.866672706672293,2.416133014087962
Ian Mahinmi,mahinia01,2020,RS,WAS,1718,808,-2.936343645662832,3.006648329400875,.0703046837380432,-.6982664141075485,-.3251100592759958,-1.023376473383544,-2.661213967499677,2.587481796360373,-.0737321711393042,1.10245029884164,1.10245029884164,0,-2.415609181189947,2.258323018042407,-.1572861631475404,-.0757619316156133
Thon Maker,makerth01,2020,RS,DET,1593,776,-1.902324179114204,-.2650350550722574,-2.167359234186461,-3.56383371308705,-2.369676578458865,-5.933510291545915,-2.337961447009826,-.6354437967031346,-2.97340524371296,-.0884244757688228,-.0884244757688228,0,-2.413376589075821,-.4983853830917742,-2.911761972167595,-.0289240433579606
Terance Mann,mannte01,2020,PO,LAC,42,17,-10.22695875000093,4.818780338106218,-5.408178411894707,4.830511314569606,29.04517059717806,33.87568191174767,-7.614226069891941,10.16424537850657,2.550019308614634,.0482469762640482,0,.0482469762640482,-8.822072430745003,8.109687262388215,-.7123851683567874,1.780321676391457
Terance Mann,mannte01,2020,RS,LAC,799,362,-1.181716122061756,-.110076619013105,-1.291792741074862,-3.71001108149368,1.678515693336681,-2.031495388156999,-1.831082441174869,.1950468574844471,-1.636035583690422,.2042263218063399,.2042263218063399,0,-2.382031003808262,.0276902855021843,-2.354340718306078,-.7515793894437686
Boban Marjanovic,marjabo01,2020,PO,DAL,141,65,1.306517965055533,-4.875170163817966,-3.568652198762433,4.220999609930442,3.244466097494622,7.465465707425064,1.969400900435281,-3.377999626371924,-1.408598725936643,.0457737184522521,0,.0457737184522521,2.429149419054043,-1.641051382509959,.7880980365440835,-.2337198435535646
Boban Marjanovic,marjabo01,2020,RS,DAL,892,422,3.338397046785549,-.0202395565019223,3.318157490283627,4.289241960823303,-2.251070233111106,2.038171727712197,3.603419878594329,-.4815139482640104,3.121905930330319,1.266199922267795,1.266199922267795,0,3.12368173396916,-.8187205758469881,2.304961158122172,.1577086181696839
Lauri Markkanen,markkla01,2020,RS,CHI,3162,1492,-.7570257793248104,-2.704177860417496,-3.461203639742307,-1.791994381735187,1.072650212550482,-.7193441691847047,-.9616604686181289,-2.09371824134989,-3.055378709968019,-.2337089789561136,-.2337089789561136,0,-.7919310807434538,-1.333166125576701,-2.125097206320155,.5486400360484524
Caleb Martin,martica02,2020,RS,CHA,633,317,-1.471160521136663,4.363104110455459,2.891943589318795,-3.36938943722169,5.412942905157263,2.043553467935573,-1.910862128305953,4.914364487320447,3.003502359014494,.9286868863204214,.9286868863204214,0,-2.08359843733062,3.300483585801375,1.216885148470756,-.2026221272562898
Cody Martin,martico01,2020,RS,CHA,1858,903,-2.009548170160465,4.210498775122358,2.200950604961893,-.4692486942452186,3.02226522410696,2.553016529861742,-1.779764782412102,4.287956194900298,2.508191412488196,2.420173935717545,2.420173935717545,0,-1.852583808658712,3.200343160818056,1.347759352159345,-.0982298599455106
Jeremiah Martin,martije02,2020,PO,BRK,58,27,-5.979968365928785,-11.2538892665751,-17.23385763250388,3.355684347068344,-13.15265439296757,-9.796970045899224,-4.168890472402523,-12.19620807104388,-16.36509854344641,-.1903031500543779,0,-.1903031500543779,.0322021886015706,-12.66799949516112,-12.63579730655955,-1.634408362790465
Jeremiah Martin,martije02,2020,RS,BRK,215,99,3.678210418922528,8.577350827814081,12.25556124673661,2.650626939719213,-6.616065894217784,-3.965438954498571,3.712721990992053,5.915309270609321,9.628031261601375,.6197041620785498,.6197041620785498,0,5.042109442133776,4.759226405454333,9.80133584758811,-.8994725995540188
Kelan Martin,martike03,2020,RS,MIN,1098,495,-4.119595716512186,-2.18424796695472,-6.303843683466907,-4.885730969350051,5.969898599786432,1.084167630436381,-4.502159033764972,-.5964549807762619,-5.098614014541234,-.5939948532258358,-.5939948532258358,0,-5.083148395207833,-1.629103447323558,-6.712251842531391,.1471350370296912
Frank Mason,masonfr01,2020,PO,MIL,1,0,37.16829009377034,1.959210829829099,39.12750092359943,123.0793270596153,-.5677550204462738,122.511572039169,57.49787487899813,1.756007095699228,59.25388197469736,0,0,0,36.9625039059026,-4.288083794417219,32.67442011148538,-10.73415018111189
Frank Mason,masonfr01,2020,RS,MIL,270,118,1.993371866890307,4.75866284193995,6.752034708830257,-4.638307575422223,4.518836793792533,-.1194707816296896,.6963826977471758,4.90548338210343,5.601866079850605,.5061334570972134,.5061334570972134,0,.0533671884706214,2.430267008578819,2.48363419704944,.6743928293178318
Garrison Mathews,mathega01,2020,RS,WAS,491,227,2.03832645019722,1.969202873991756,4.007529324188975,1.316088266061098,4.385011591136357,5.701099857197455,1.999672943062698,2.663274533342348,4.662947476405045,.8648075749442365,.8648075749442365,0,1.83450096360887,1.342821513392535,3.177322477001405,.7461690851918095
Wesley Matthews,matthwe02,2020,PO,MIL,206,94,3.195428079345041,6.607088126406166,9.802516205751207,5.549482587376961,-3.14299074691884,2.40649184045812,3.909247394333255,4.87709161974586,8.786339014079115,.5705226391001735,0,.5705226391001735,1.028671560203475,3.277298513973899,4.305970074177373,-.0171575633784128
Wesley Matthews,matthwe02,2020,RS,MIL,3648,1635,-2.022090627432056,2.491022585302567,.4689319578705109,-.7826290188039264,5.104034187132384,4.321405168328457,-1.908197686891085,3.108067485455377,1.199869798564292,3.311190669247738,3.311190669247738,0,-2.15713395624115,2.390372113066043,.2332381568248927,.5051185147302537
Luc Mbah a Moute,mbahalu01,2020,RS,HOU,63,25,-6.443003395193482,-3.160994625252008,-9.60399802044549,-16.35370051371812,6.090687666804476,-10.26301284691364,-8.908129824499269,-1.358503610002586,-10.26663343450186,-.0974603743987921,-.0974603743987921,0,-8.573489244096059,-2.885211164124309,-11.45870040822037,1.68874659765592
Patrick McCaw,mccawpa01,2020,RS,TOR,1926,908,-3.394919764747973,-.4957967247584123,-3.890716489506385,-3.25499938984836,-.2329440481061792,-3.487943437954539,-3.590275497226071,-.5126932178348178,-4.102968715060889,-.6221640248170203,-.6221640248170203,0,-3.980179702005675,-.2852307198945977,-4.265410421900272,-.751704090548402
CJ McCollum,mccolcj01,2020,PO,POR,313,150,-.8953626762815756,2.032041723995335,1.136679047713759,2.032124672048206,-2.936213545833824,-.9040888737856174,-.1702963794735595,1.112698674769711,.9424022952961513,.2831841981837246,0,.2831841981837246,2.94969261575669,.0200876184955114,2.969780234252202,-2.859902972438824
