id,name,season,raptor_offense,raptor_defense,raptor_total,war_total,createdAt,updatedAt
421,"Chase Budinger",2015,-1.10567,-1.65718,-2.76285,-0.00848335,NULL,NULL
422,"Chase Budinger",2016,-0.863169,-0.132075,-0.995244,0.851887,NULL,NULL
423,"Reggie Bullock",2014,-3.07759,0.181623,-2.89596,-0.0334178,NULL,NULL
424,"Reggie Bullock",2015,-3.52142,2.32673,-1.19469,0.270499,NULL,NULL
425,"Reggie Bullock",2016,1.68393,-1.35267,0.331267,0.709326,NULL,NULL
426,"Reggie Bullock",2017,0.0671499,1.58082,1.64797,1.04745,NULL,NULL
427,"Reggie Bullock",2018,0.616557,-0.243606,0.372951,2.76172,NULL,NULL
428,"Reggie Bullock",2019,-1.08565,-1.15629,-2.24194,0.498169,NULL,NULL
429,"Trey Burke",2014,0.426341,-2.17644,-1.7501,1.13893,NULL,NULL
430,"Trey Burke",2015,0.0426663,-2.04501,-2.00235,0.864371,NULL,NULL
431,"Trey Burke",2016,0.583198,-2.06708,-1.48388,0.872904,NULL,NULL
432,"Trey Burke",2017,-2.32475,-2.79548,-5.12024,-0.863072,NULL,NULL
433,"Trey Burke",2018,4.55996,-2.52551,2.03445,1.89362,NULL,NULL
434,"Trey Burke",2019,2.03396,-0.140763,1.89319,2.63327,NULL,NULL
435,"Alec Burks",2014,0.886986,-0.674504,0.212482,3.30668,NULL,NULL
436,"Alec Burks",2015,0.389829,-3.6785,-3.28867,-0.246139,NULL,NULL
437,"Alec Burks",2016,-0.0666915,-1.15599,-1.22268,0.619269,NULL,NULL
438,"Alec Burks",2017,-1.38204,-0.572243,-1.95428,0.264955,NULL,NULL
439,"Alec Burks",2018,0.188233,-1.36385,-1.17562,0.946819,NULL,NULL
440,"Alec Burks",2019,-0.870407,-1.59973,-2.47013,0.203663,NULL,NULL
441,"Deonte Burton",2019,-5.89385,4.07868,-1.81517,0.116472,NULL,NULL
442,"Caron Butler",2014,-1.66276,-2.3515,-4.01426,-1.22861,NULL,NULL
443,"Caron Butler",2015,-0.202216,-1.45561,-1.65783,0.898182,NULL,NULL
444,"Caron Butler",2016,-1.66012,-3.32205,-4.98217,-0.199718,NULL,NULL
